team,conference,color,alt_color,logo
Davidson,,#000000,#e51837,http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png
Dayton,,#004B8D,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png
Defiance,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/190.png
Delaware,,#033594,#e8ce31,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png
Delaware State,,#FF3630,#009cdd,http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png
Delaware Valley,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2808.png
Delta State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2170.png
Denison,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2171.png
DePauw,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/83.png
Dickinson,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2175.png
Dickinson State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/316.png
Drake,,#004477,#c0c0c0,http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png
Dubuque,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/49.png
Duke,ACC,#001A57,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Duquesne,,#002D62,#b90b2e,http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png
Earlham,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2189.png
East Carolina,American Athletic,#4b1869,#f0907b,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
East Central,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2191.png
Eastern Illinois,,#000000,#bebab9,http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png
Eastern Kentucky,,#660819,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2198.png
Eastern Michigan,Mid-American,#00331b,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
Eastern New Mexico,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2201.png
Eastern Oregon,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2202.png
Eastern Washington,,#a10022,#abb4bc,http://a.espncdn.com/i/teamlogos/ncaa/500/331.png
East Stroudsburg,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2188.png
East Tennessee State,,#002d61,#ffc423,http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png
East Texas Baptist,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2194.png
Edinboro,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2205.png
Elizabeth City State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2207.png
Elmhurst,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/72.png
Elon,,#020303,#b59a57,http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png
Emory & Henry,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2213.png
Emporia State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2214.png
Endicott College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/452.png
Erie Community College,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/3236.png
Eureka College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/101.png
Evangel,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2865.png
Fairmont State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2986.png
Faulkner,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2219.png
Fayetteville State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2220.png
FDU-Florham,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2221.png
Ferris State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2222.png
Ferrum,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/366.png
Findlay,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2224.png
Fitchburg State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/114.png
Florida,SEC,#0021A5,#0021a5,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Florida A&M,,#F89728,#00843d,http://a.espncdn.com/i/teamlogos/ncaa/500/50.png
Florida Atlantic,Conference USA,#004B85,#bb2f4c,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Florida International,Conference USA,#001538,#c5960c,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
Florida State,ACC,#782F40,#ceb888,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Florida Tech,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/53.png
Fordham,,#830032,#909090,http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png
Fort Hays State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2231.png
Fort Lewis,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2237.png
